"Date","Price","Open","High","Low","Change %"
"Apr 22, 2008","103.00","103.24","103.56","102.65","-0.24%"
"Apr 21, 2008","103.25","103.75","104.08","102.95","-0.41%"
"Apr 18, 2008","103.68","102.51","104.66","102.23","1.10%"
"Apr 17, 2008","102.55","101.78","102.72","101.68","0.76%"
"Apr 16, 2008","101.78","101.82","101.93","100.80","-0.05%"
"Apr 15, 2008","101.83","101.06","101.89","100.77","0.72%"
"Apr 14, 2008","101.10","101.27","101.78","100.28","0.13%"
"Apr 11, 2008","100.97","101.75","102.29","100.62","-0.86%"
"Apr 10, 2008","101.85","101.72","102.05","100.01","0.06%"
"Apr 09, 2008","101.79","102.56","102.85","101.48","-0.81%"
"Apr 08, 2008","102.62","102.34","102.69","101.73","0.18%"
"Apr 07, 2008","102.44","101.72","102.87","101.49","0.90%"
"Apr 04, 2008","101.53","102.25","102.70","101.43","-0.76%"
"Apr 03, 2008","102.31","102.27","102.98","102.04","0.05%"
"Apr 02, 2008","102.26","101.81","102.85","101.49","0.40%"
"Apr 01, 2008","101.85","99.86","102.17","99.57","2.02%"
"Mar 31, 2008","99.83","98.90","100.21","98.80","0.69%"
"Mar 28, 2008","99.15","99.64","100.41","99.08","-0.49%"
"Mar 27, 2008","99.64","99.00","100.18","98.54","0.67%"
"Mar 26, 2008","98.98","99.93","100.34","98.86","-1.10%"
"Mar 25, 2008","100.08","100.62","101.05","99.60","-0.60%"
"Mar 24, 2008","100.68","99.34","100.91","99.32","1.09%"
"Mar 21, 2008","99.59","99.30","99.75","98.98","0.21%"
"Mar 20, 2008","99.38","98.59","100.22","98.43","0.64%"
"Mar 19, 2008","98.75","99.98","100.45","97.64","-1.27%"
"Mar 18, 2008","100.02","97.23","100.05","96.83","2.68%"
"Mar 17, 2008","97.41","98.64","99.12","95.71","-1.61%"
"Mar 14, 2008","99.00","100.49","101.16","98.87","-1.49%"
"Mar 13, 2008","100.50","101.18","101.72","99.73","-1.03%"
"Mar 12, 2008","101.55","103.47","103.53","101.48","-1.78%"
"Mar 11, 2008","103.39","101.73","103.61","101.40","1.61%"
"Mar 10, 2008","101.75","102.49","102.53","101.54","-0.98%"
"Mar 07, 2008","102.76","102.65","103.25","101.41","0.13%"
"Mar 06, 2008","102.63","104.01","104.06","102.53","-1.38%"
"Mar 05, 2008","104.07","103.32","104.21","103.26","0.72%"
"Mar 04, 2008","103.33","103.41","103.59","102.63","0.08%"
"Mar 03, 2008","103.25","103.58","103.72","102.59","-0.60%"
"Feb 29, 2008","103.87","105.31","105.40","103.77","-1.34%"
"Feb 28, 2008","105.28","106.43","106.66","105.05","-1.06%"
"Feb 27, 2008","106.41","107.22","107.41","105.94","-0.82%"
"Feb 26, 2008","107.29","108.09","108.15","107.17","-0.71%"
"Feb 25, 2008","108.06","107.33","108.22","107.14","0.76%"
"Feb 22, 2008","107.25","107.38","107.59","106.71","-0.07%"
"Feb 21, 2008","107.32","108.13","108.35","107.13","-0.73%"
"Feb 20, 2008","108.11","107.73","108.37","107.45","0.31%"
"Feb 19, 2008","107.78","108.23","108.30","107.18","-0.41%"
"Feb 18, 2008","108.22","107.83","108.34","107.73","0.41%"
"Feb 15, 2008","107.78","107.84","108.33","107.24","-0.15%"
