"Date","Price","Open","High","Low","Change %"
"Dec 24, 2008","1.7397","1.7587","1.7668","1.7292","-1.10%"
"Dec 23, 2008","1.7591","1.7422","1.7680","1.7179","0.95%"
"Dec 22, 2008","1.7425","1.7385","1.7510","1.7197","0.24%"
"Dec 19, 2008","1.7384","1.7167","1.7517","1.6943","0.90%"
"Dec 18, 2008","1.7229","1.6861","1.7307","1.6431","1.92%"
"Dec 17, 2008","1.6904","1.7292","1.7360","1.6770","-2.09%"
"Dec 16, 2008","1.7265","1.8005","1.8118","1.7227","-4.30%"
"Dec 15, 2008","1.8041","1.8255","1.8432","1.7947","-1.63%"
"Dec 12, 2008","1.8340","1.8106","1.8458","1.8012","1.05%"
"Dec 11, 2008","1.8150","1.8389","1.8424","1.7924","-1.38%"
"Dec 10, 2008","1.8404","1.8495","1.8544","1.8165","-0.82%"
"Dec 09, 2008","1.8556","1.8255","1.8653","1.8218","1.83%"
"Dec 08, 2008","1.8223","1.8622","1.8805","1.8185","-2.46%"
"Dec 05, 2008","1.8683","1.8758","1.9221","1.8625","-0.49%"
"Dec 04, 2008","1.8775","1.8758","1.8939","1.8525","0.11%"
"Dec 03, 2008","1.8754","1.8762","1.9057","1.8699","0.15%"
"Dec 02, 2008","1.8725","1.8868","1.9046","1.8650","-0.78%"
"Dec 01, 2008","1.8872","1.8302","1.8971","1.8285","3.85%"
"Nov 28, 2008","1.8172","1.8083","1.8345","1.7940","0.46%"
"Nov 27, 2008","1.8089","1.8126","1.8308","1.7989","-0.07%"
"Nov 26, 2008","1.8102","1.8242","1.8378","1.8002","-0.93%"
"Nov 25, 2008","1.8272","1.8238","1.8716","1.7860","-0.02%"
"Nov 24, 2008","1.8275","1.8553","1.8921","1.8242","-2.20%"
"Nov 21, 2008","1.8686","1.9135","1.9244","1.8615","-2.60%"
"Nov 20, 2008","1.9185","1.8430","1.9262","1.8355","4.23%"
"Nov 19, 2008","1.8407","1.8064","1.8483","1.7924","1.83%"
"Nov 18, 2008","1.8076","1.8116","1.8324","1.7992","-0.39%"
"Nov 17, 2008","1.8147","1.8198","1.8333","1.7768","0.32%"
"Nov 14, 2008","1.8090","1.7492","1.8090","1.7355","3.87%"
"Nov 13, 2008","1.7416","1.7822","1.8155","1.7343","-2.49%"
"Nov 12, 2008","1.7860","1.7452","1.8018","1.7197","2.40%"
"Nov 11, 2008","1.7441","1.7247","1.7582","1.6966","0.95%"
"Nov 10, 2008","1.7277","1.6689","1.7310","1.6521","1.89%"
"Nov 07, 2008","1.6957","1.7018","1.7279","1.6810","-0.60%"
"Nov 06, 2008","1.7059","1.6686","1.7071","1.6543","2.09%"
"Nov 05, 2008","1.6710","1.6529","1.6800","1.6351","1.22%"
"Nov 04, 2008","1.6508","1.6898","1.7107","1.6289","-2.23%"
"Nov 03, 2008","1.6884","1.7123","1.7175","1.6722","-1.67%"
"Oct 31, 2008","1.7170","1.6987","1.7406","1.6909","1.40%"
"Oct 30, 2008","1.6933","1.7068","1.7254","1.6562","-0.74%"
"Oct 29, 2008","1.7059","1.7434","1.7627","1.6821","-2.72%"
"Oct 28, 2008","1.7536","1.8443","1.8502","1.7489","-4.78%"
"Oct 27, 2008","1.8416","1.8021","1.8702","1.7841","2.65%"
"Oct 24, 2008","1.7940","1.6720","1.8211","1.6678","7.28%"
"Oct 23, 2008","1.6723","1.6841","1.7259","1.6609","-0.61%"
"Oct 22, 2008","1.6826","1.6437","1.7203","1.6335","2.09%"
"Oct 21, 2008","1.6482","1.6098","1.6537","1.6072","2.60%"
"Oct 20, 2008","1.6064","1.6399","1.6450","1.5957","-1.66%"
"Oct 17, 2008","1.6335","1.6186","1.6487","1.6069","1.21%"
"Oct 16, 2008","1.6139","1.6790","1.6841","1.6132","-3.85%"
"Oct 15, 2008","1.6785","1.6152","1.6862","1.5918","4.18%"
"Oct 14, 2008","1.6111","1.6231","1.6445","1.5738","-0.61%"
"Oct 13, 2008","1.6210","1.6480","1.6914","1.6108","-3.62%"
"Oct 10, 2008","1.6818","1.6526","1.7001","1.6458","1.82%"
"Oct 09, 2008","1.6518","1.6513","1.6932","1.5964","-0.92%"
"Oct 08, 2008","1.6672","1.5878","1.7282","1.5858","4.17%"
"Oct 07, 2008","1.6005","1.5936","1.6263","1.5540","1.25%"
"Oct 06, 2008","1.5808","1.5152","1.6147","1.5142","4.47%"
"Oct 03, 2008","1.5132","1.5198","1.5261","1.4957","-0.51%"
"Oct 02, 2008","1.5209","1.4846","1.5260","1.4821","2.05%"
"Oct 01, 2008","1.4903","1.4892","1.5011","1.4719","-0.05%"
"Sep 30, 2008","1.4910","1.4930","1.5055","1.4710","0.03%"
"Sep 29, 2008","1.4905","1.4599","1.4919","1.4505","2.25%"
"Sep 26, 2008","1.4577","1.4693","1.4714","1.4478","-0.57%"
"Sep 25, 2008","1.4661","1.4648","1.4714","1.4476","0.08%"
"Sep 24, 2008","1.4649","1.4680","1.4735","1.4507","-0.49%"
"Sep 23, 2008","1.4721","1.4503","1.4765","1.4428","1.25%"
"Sep 22, 2008","1.4539","1.4480","1.4660","1.4374","0.03%"
"Sep 19, 2008","1.4534","1.4810","1.4935","1.4484","-1.80%"
"Sep 18, 2008","1.4800","1.5181","1.5200","1.4695","-2.67%"
"Sep 17, 2008","1.5206","1.5218","1.5329","1.4948","0.42%"
"Sep 16, 2008","1.5142","1.5195","1.5415","1.5063","-0.09%"
"Sep 15, 2008","1.5156","1.4972","1.5307","1.4872","1.26%"
"Sep 12, 2008","1.4968","1.5223","1.5398","1.4937","-1.57%"
"Sep 11, 2008","1.5206","1.5302","1.5531","1.5195","-0.71%"
"Sep 10, 2008","1.5314","1.5024","1.5319","1.4868","2.08%"
"Sep 09, 2008","1.5002","1.4919","1.5134","1.4712","0.45%"
"Sep 08, 2008","1.4935","1.4613","1.5042","1.4609","-0.11%"
"Sep 05, 2008","1.4952","1.5002","1.5170","1.4894","-0.27%"
"Sep 04, 2008","1.4993","1.4592","1.5011","1.4520","2.68%"
"Sep 03, 2008","1.4601","1.4552","1.4849","1.4484","0.24%"
"Sep 02, 2008","1.4566","1.4364","1.4703","1.4351","1.32%"
"Sep 01, 2008","1.4376","1.4284","1.4407","1.4265","0.70%"
"Aug 29, 2008","1.4276","1.4231","1.4326","1.4138","0.20%"
"Aug 28, 2008","1.4248","1.4249","1.4274","1.4118","-0.04%"
"Aug 27, 2008","1.4253","1.4351","1.4407","1.4182","-0.66%"
"Aug 26, 2008","1.4347","1.4176","1.4499","1.4174","1.03%"
"Aug 25, 2008","1.4201","1.4090","1.4216","1.4081","0.67%"
"Aug 22, 2008","1.4106","1.3873","1.4128","1.3862","1.76%"
"Aug 21, 2008","1.3862","1.4029","1.4087","1.3847","-1.20%"
"Aug 20, 2008","1.4030","1.4011","1.4121","1.3953","0.05%"
"Aug 19, 2008","1.4023","1.4083","1.4213","1.3970","-0.28%"
"Aug 18, 2008","1.4063","1.4174","1.4221","1.3955","-0.68%"
"Aug 15, 2008","1.4159","1.4316","1.4406","1.4118","-0.96%"
"Aug 14, 2008","1.4296","1.4229","1.4357","1.4160","0.33%"
